key;value
11;12
134;135
158;159
160;161
215;215
29;30
131;132
207;207
173;173
74;75
201;201
176;176
57;58
31;32
70;71
33;34
252;241
114;115
165;166
96;97
133;134
49;50
84;85
230;230
117;118
93;94
50;51
77;78
80;81
227;227
188;188
132;133
195;195
157;158
231;231
221;221
153;154
217;217
79;80
71;72
120;121
154;155
225;225
76;77
184;184
224;224
213;213
204;204
122;123
143;144
62;63
107;108
169;169
21;22
10;11
102;103
180;180
162;163
129;130
88;89
149;150
5;6
63;64
41;42
15;16
245;240
148;149
210;210
55;56
66;67
239;236
155;156
150;151
209;209
95;96
139;140
90;91
111;112
14;15
175;175
205;205
212;212
200;200
135;136
125;126
172;172
146;147
130;131
17;18
65;66
202;202
44;45
37;38
192;192
110;111
127;128
13;14
99;100
137;138
141;142
105;106
30;31
1;2
47;48
216;216
226;226
214;214
91;92
43;44
9;10
128;129
203;203
147;148
104;105
244;239
183;183
103;104
152;153
38;39
118;119
48;49
100;101
81;82
140;141
196;196
19;20
51;52
243;238
191;191
177;177
123;124
163;164
108;109
164;165
2;3
89;90
197;197
136;137
151;152
144;145
142;143
78;79
159;160
112;113
106;107
121;122
109;110
182;182
26;27
138;139
4;5
168;168
94;95
115;116
54;55
40;41
101;102
211;211
171;171
0;1
60;61
34;35
178;178
198;198
113;114
12;13
242;237
189;189
16;17
208;208
92;93
72;73
28;29
97;98
68;69
124;125
39;40
46;47
85;86
170;170
25;26
42;43
181;181
58;59
193;193
59;60
8;9
199;199
185;185
20;21
194;194
52;53
18;19
233;233
234;234
69;70
232;232
219;219
223;223
166;167
187;187
35;36
83;84
64;65
220;220
145;146
45;46
86;87
67;68
126;127
206;206
32;33
229;229
190;190
82;83
7;8
75;76
228;228
87;88
237;235
179;179
3;4
61;62
36;37
98;99
174;174
161;162
186;186
22;23
6;7
24;25
73;74
119;120
156;157
222;222
53;54
116;117
23;24
27;28
218;218
56;57
