key;value
11;12
134;103
158;123
160;125
215;175
29;23
131;101
207;167
173;136
74;59
201;163
176;139
57;44
31;25
70;55
114;90
165;129
49;39
84;68
230;188
117;93
93;74
50;40
77;62
80;65
227;186
188;150
132;102
195;157
157;122
221;181
153;118
217;177
79;64
71;56
120;96
154;119
225;184
76;61
184;146
224;183
213;173
204;165
143;109
62;49
107;84
169;132
21;19
10;11
102;81
180;143
162;126
129;99
149;115
5;6
63;50
41;33
15;15
245;196
148;114
210;170
55;42
66;53
239;192
155;120
209;169
95;75
90;72
111;88
14;14
175;138
205;166
212;172
200;162
172;135
146;112
130;100
17;17
65;52
202;164
44;35
37;29
192;154
110;87
99;78
137;104
141;107
216;176
30;24
1;2
47;37
226;185
214;174
91;73
128;98
9;10
147;113
104;83
244;195
183;145
103;82
152;117
38;30
118;94
48;38
100;79
81;66
140;106
196;158
19;18
51;41
243;194
191;153
177;140
123;97
163;127
108;85
164;128
2;3
89;71
197;159
151;116
144;110
142;108
78;63
159;124
112;89
109;86
182;144
138;105
4;5
168;131
115;91
40;32
101;80
211;171
171;134
0;1
60;47
34;26
178;141
198;160
12;13
242;193
189;151
16;16
208;168
72;57
97;76
39;31
46;36
85;69
170;133
25;22
42;34
193;155
58;45
59;46
8;9
199;161
185;147
194;156
233;190
234;191
232;189
219;179
166;130
187;149
35;27
64;51
220;180
145;111
67;54
229;187
190;152
82;67
7;8
75;60
87;70
179;142
3;4
61;48
36;28
98;77
174;137
186;148
22;20
6;7
24;21
73;58
119;95
156;121
222;182
116;92
218;178
56;43
